期号,百位,十位,个位,和值,跨度,重复数字
2138,2 ,7 ,9 ,18,7,0
2139,9 ,9 ,2 ,20,7,1
2140,5 ,2 ,2 ,9,3,1
2141,8 ,8 ,9 ,25,1,1
2142,5 ,5 ,8 ,18,3,1
2143,7 ,9 ,8 ,24,2,0
2144,3 ,7 ,7 ,17,4,1
2145,2 ,3 ,9 ,14,7,0
2146,1 ,2 ,9 ,12,8,0
2147,8 ,3 ,1 ,12,7,0
2148,4 ,9 ,5 ,18,5,0
2149,3 ,4 ,6 ,13,3,0
2150,7 ,9 ,0 ,16,9,0
2151,3 ,5 ,3 ,11,2,1
2152,0 ,9 ,4 ,13,9,0
2153,5 ,1 ,7 ,13,6,0
2154,0 ,2 ,0 ,2,2,1
2155,3 ,0 ,2 ,5,3,0
2156,1 ,4 ,9 ,14,8,0
2157,0 ,3 ,0 ,3,3,1
2158,7 ,6 ,5 ,18,2,0
2159,3 ,8 ,0 ,11,8,0
2160,1 ,5 ,3 ,9,4,0
2161,3 ,6 ,9 ,18,6,0
2162,6 ,1 ,6 ,13,5,1
2163,4 ,4 ,8 ,16,4,1
2164,9 ,5 ,4 ,18,5,0
2165,9 ,5 ,0 ,14,9,0
2166,7 ,9 ,3 ,19,6,0
2167,5 ,7 ,3 ,15,4,0
2168,7 ,4 ,5 ,16,3,0
2169,9 ,9 ,9 ,27,0,1
2170,2 ,5 ,4 ,11,3,0
2171,1 ,1 ,2 ,4,1,1
2172,0 ,1 ,6 ,7,6,0
2173,9 ,6 ,0 ,15,9,0
2174,0 ,8 ,8 ,16,8,1
2175,8 ,2 ,5 ,15,6,0
2176,6 ,7 ,4 ,17,3,0
2177,5 ,6 ,2 ,13,4,0
2178,9 ,8 ,4 ,21,5,0
2179,1 ,3 ,6 ,10,5,0
2180,1 ,8 ,3 ,12,7,0
2181,5 ,0 ,5 ,10,5,1
2182,8 ,0 ,7 ,15,8,0
2183,5 ,7 ,0 ,12,7,0
2184,3 ,2 ,0 ,5,3,0
2185,1 ,4 ,9 ,14,8,0
2186,3 ,1 ,2 ,6,2,0
2187,3 ,7 ,2 ,12,5,0
2188,8 ,9 ,8 ,25,1,1
2189,1 ,2 ,5 ,8,4,0
2190,2 ,6 ,6 ,14,4,1
2191,3 ,2 ,0 ,5,3,0
2192,1 ,4 ,9 ,14,8,0
2193,9 ,3 ,0 ,12,9,0
2194,1 ,7 ,9 ,17,8,0
2195,2 ,3 ,0 ,5,3,0
2196,3 ,0 ,8 ,11,8,0
2197,4 ,0 ,3 ,7,4,0
2198,4 ,2 ,8 ,14,6,0
2199,3 ,6 ,3 ,12,3,1
2200,6 ,9 ,0 ,15,9,0
2201,1 ,5 ,6 ,12,5,0
2202,1 ,3 ,2 ,6,2,0
2203,8 ,2 ,8 ,18,6,1
2204,8 ,3 ,0 ,11,8,0
2205,1 ,7 ,2 ,10,6,0
2206,8 ,0 ,2 ,10,8,0
2207,7 ,9 ,3 ,19,6,0
2208,5 ,7 ,0 ,12,7,0
2209,5 ,4 ,3 ,12,2,0
2210,9 ,3 ,3 ,15,6,1
2211,5 ,4 ,4 ,13,1,1
2212,8 ,9 ,8 ,25,1,1
2213,7 ,3 ,8 ,18,5,0
2214,8 ,5 ,7 ,20,3,0
2215,6 ,6 ,2 ,14,4,1
2216,2 ,4 ,9 ,15,7,0
2217,4 ,3 ,7 ,14,4,0
2218,6 ,1 ,2 ,9,5,0
2219,3 ,0 ,3 ,6,3,1
2220,2 ,6 ,8 ,16,6,0
2221,8 ,1 ,6 ,15,7,0
2222,4 ,0 ,0 ,4,4,1
2223,7 ,0 ,6 ,13,7,0
2224,4 ,5 ,7 ,16,3,0
2225,4 ,7 ,5 ,16,3,0
2226,0 ,1 ,4 ,5,4,0
2227,0 ,2 ,2 ,4,2,1
2228,3 ,5 ,7 ,15,4,0
2229,0 ,2 ,6 ,8,6,0
2230,6 ,5 ,9 ,20,4,0
2231,6 ,6 ,9 ,21,3,1
2232,9 ,7 ,9 ,25,2,1
2233,0 ,8 ,1 ,9,8,0
2234,4 ,0 ,7 ,11,7,0
2235,4 ,0 ,9 ,13,9,0
2236,3 ,2 ,2 ,7,1,1
2237,0 ,4 ,2 ,6,4,0
2238,1 ,5 ,9 ,15,8,0
2239,1 ,6 ,0 ,7,6,0
2240,4 ,1 ,8 ,13,7,0
2241,1 ,4 ,8 ,13,7,0
2242,1 ,4 ,4 ,9,3,1
2243,9 ,7 ,9 ,25,2,1
2244,3 ,8 ,2 ,13,6,0
2245,8 ,3 ,6 ,17,5,0
2246,0 ,4 ,0 ,4,4,1
2247,1 ,5 ,4 ,10,4,0
2248,6 ,2 ,6 ,14,4,1
2249,9 ,3 ,4 ,16,6,0
2250,9 ,4 ,5 ,18,5,0
2251,0 ,0 ,0 ,0,0,1
2252,3 ,0 ,0 ,3,3,1
2253,4 ,9 ,2 ,15,7,0
2254,6 ,5 ,3 ,14,3,0
2255,6 ,2 ,4 ,12,4,0
2256,1 ,9 ,9 ,19,8,1
2257,9 ,1 ,8 ,18,8,0
2258,4 ,6 ,4 ,14,2,1
2259,4 ,6 ,9 ,19,5,0
2260,1 ,5 ,4 ,10,4,0
2261,1 ,0 ,2 ,3,2,0
2262,2 ,7 ,4 ,13,5,0
2263,3 ,2 ,7 ,12,5,0
2264,5 ,6 ,0 ,11,6,0
2265,0 ,3 ,2 ,5,3,0
2266,4 ,4 ,2 ,10,2,1
2267,4 ,0 ,8 ,12,8,0
2268,4 ,8 ,7 ,19,4,0
2269,9 ,0 ,4 ,13,9,0
2270,1 ,9 ,7 ,17,8,0
2271,5 ,4 ,5 ,14,1,1
2272,7 ,8 ,1 ,16,7,0
2273,4 ,2 ,2 ,8,2,1
2274,6 ,1 ,0 ,7,6,0
2275,5 ,6 ,0 ,11,6,0
2276,3 ,8 ,5 ,16,5,0
2277,9 ,3 ,1 ,13,8,0
2278,4 ,6 ,6 ,16,2,1
2279,8 ,1 ,7 ,16,7,0
2280,2 ,2 ,8 ,12,6,1
2281,0 ,8 ,2 ,10,8,0
2282,7 ,2 ,1 ,10,6,0
2283,4 ,1 ,6 ,11,5,0
2284,2 ,2 ,6 ,10,4,1
2285,4 ,2 ,7 ,13,5,0
2286,3 ,6 ,4 ,13,3,0
2287,1 ,7 ,9 ,17,8,0
2288,3 ,0 ,3 ,6,3,1
2289,1 ,8 ,0 ,9,8,0
2290,9 ,3 ,8 ,20,6,0
2291,6 ,4 ,0 ,10,6,0
2292,9 ,7 ,1 ,17,8,0
2293,0 ,6 ,4 ,10,6,0
2294,0 ,2 ,8 ,10,8,0
2295,8 ,3 ,1 ,12,7,0
2296,9 ,2 ,5 ,16,7,0
2297,0 ,8 ,3 ,11,8,0
2298,6 ,2 ,5 ,13,4,0
2299,7 ,2 ,4 ,13,5,0
2300,5 ,9 ,0 ,14,9,0
2301,0 ,6 ,7 ,13,7,0
2302,8 ,6 ,9 ,23,3,0
2303,7 ,1 ,7 ,15,6,1
2304,9 ,8 ,5 ,22,4,0
2305,7 ,8 ,8 ,23,1,1
2306,3 ,8 ,6 ,17,5,0
2307,7 ,5 ,2 ,14,5,0
2308,7 ,4 ,7 ,18,3,1
2309,2 ,7 ,3 ,12,5,0
2310,1 ,3 ,2 ,6,2,0
2311,1 ,5 ,1 ,7,4,1
2312,0 ,5 ,7 ,12,7,0
2313,3 ,0 ,7 ,10,7,0
2314,1 ,2 ,8 ,11,7,0
2315,2 ,4 ,2 ,8,2,1
2316,6 ,8 ,0 ,14,8,0
2317,9 ,2 ,3 ,14,7,0
2318,3 ,7 ,1 ,11,6,0
2319,9 ,5 ,9 ,23,4,1
2320,4 ,1 ,9 ,14,8,0
2321,5 ,9 ,7 ,21,4,0
2322,5 ,5 ,3 ,13,2,1
2323,4 ,7 ,0 ,11,7,0
2324,6 ,7 ,4 ,17,3,0
2325,4 ,4 ,8 ,16,4,1
2326,6 ,1 ,5 ,12,5,0
2327,0 ,4 ,9 ,13,9,0
2328,6 ,6 ,7 ,19,1,1
2329,0 ,0 ,1 ,1,1,1
2330,8 ,6 ,5 ,19,3,0
2331,0 ,8 ,5 ,13,8,0
2332,5 ,8 ,9 ,22,4,0
2333,6 ,9 ,7 ,22,3,0
2334,1 ,5 ,2 ,8,4,0
2335,3 ,7 ,4 ,14,4,0
2336,4 ,1 ,3 ,8,3,0
2337,4 ,0 ,9 ,13,9,0
2338,3 ,4 ,0 ,7,4,0
2339,9 ,5 ,0 ,14,9,0
2340,5 ,2 ,4 ,11,3,0
2341,1 ,0 ,3 ,4,3,0
2342,8 ,4 ,0 ,12,8,0
2343,4 ,0 ,9 ,13,9,0
2344,1 ,6 ,1 ,8,5,1
2345,9 ,6 ,4 ,19,5,0
2346,9 ,7 ,9 ,25,2,1
2347,1 ,6 ,4 ,11,5,0
2348,4 ,6 ,5 ,15,2,0
2349,4 ,5 ,8 ,17,4,0
2350,1 ,5 ,6 ,12,5,0
2351,5 ,6 ,3 ,14,3,0
2352,7 ,9 ,9 ,25,2,1
2353,6 ,8 ,1 ,15,7,0
2354,6 ,8 ,3 ,17,5,0
2355,6 ,4 ,7 ,17,3,0
2356,8 ,3 ,3 ,14,5,1
2357,9 ,1 ,4 ,14,8,0
2358,4 ,5 ,8 ,17,4,0
2359,2 ,8 ,0 ,10,8,0
2360,6 ,4 ,0 ,10,6,0
2361,7 ,2 ,8 ,17,6,0
2362,8 ,6 ,4 ,18,4,0
2363,0 ,1 ,5 ,6,5,0
2364,1 ,6 ,6 ,13,5,1
2365,9 ,6 ,2 ,17,7,0
2366,8 ,8 ,4 ,20,4,1
2367,7 ,5 ,1 ,13,6,0
2368,2 ,1 ,3 ,6,2,0
2369,5 ,2 ,9 ,16,7,0
2370,6 ,3 ,6 ,15,3,1
2371,9 ,3 ,4 ,16,6,0
2372,5 ,2 ,5 ,12,3,1
2373,0 ,3 ,2 ,5,3,0
2374,8 ,3 ,7 ,18,5,0
2375,1 ,6 ,7 ,14,6,0
2376,6 ,6 ,1 ,13,5,1
2377,6 ,0 ,4 ,10,6,0
2378,9 ,1 ,3 ,13,8,0
2379,3 ,9 ,5 ,17,6,0
2380,1 ,3 ,2 ,6,2,0
2381,7 ,6 ,6 ,19,1,1
2382,0 ,7 ,6 ,13,7,0
2383,8 ,3 ,7 ,18,5,0
2384,6 ,2 ,2 ,10,4,1
2385,6 ,9 ,9 ,24,3,1
2386,2 ,2 ,3 ,7,1,1
2387,5 ,3 ,8 ,16,5,0
2388,4 ,3 ,1 ,8,3,0
2389,1 ,0 ,7 ,8,7,0
2390,7 ,2 ,5 ,14,5,0
2391,6 ,4 ,7 ,17,3,0
2392,0 ,0 ,0 ,0,0,1
2393,7 ,5 ,0 ,12,7,0
2394,9 ,3 ,1 ,13,8,0
2395,8 ,9 ,6 ,23,3,0
2396,7 ,9 ,5 ,21,4,0
2397,9 ,1 ,4 ,14,8,0
2398,3 ,6 ,9 ,18,6,0
2399,4 ,0 ,4 ,8,4,1
2400,0 ,5 ,0 ,5,5,1
2401,3 ,3 ,7 ,13,4,1
2402,9 ,2 ,8 ,19,7,0
2403,1 ,8 ,2 ,11,7,0
2404,0 ,5 ,5 ,10,5,1
2405,1 ,9 ,0 ,10,9,0
2406,2 ,0 ,1 ,3,2,0
2407,5 ,2 ,8 ,15,6,0
2408,0 ,0 ,2 ,2,2,1
2409,2 ,2 ,3 ,7,1,1
2410,0 ,3 ,2 ,5,3,0
2411,7 ,0 ,0 ,7,7,1
2412,2 ,6 ,8 ,16,6,0
2413,4 ,8 ,9 ,21,5,0
2414,3 ,0 ,9 ,12,9,0
2415,2 ,1 ,0 ,3,2,0
2416,7 ,6 ,8 ,21,2,0
2417,9 ,8 ,0 ,17,9,0
2418,1 ,8 ,6 ,15,7,0
2419,8 ,1 ,6 ,15,7,0
2420,8 ,1 ,5 ,14,7,0
2421,4 ,0 ,9 ,13,9,0
2422,9 ,2 ,2 ,13,7,1
2423,0 ,2 ,0 ,2,2,1
2424,8 ,9 ,1 ,18,8,0
2425,5 ,6 ,0 ,11,6,0
2426,7 ,8 ,6 ,21,2,0
2427,8 ,9 ,6 ,23,3,0
2428,2 ,3 ,4 ,9,2,0
2429,7 ,6 ,6 ,19,1,1
2430,5 ,7 ,9 ,21,4,0
2431,3 ,1 ,5 ,9,4,0
2432,5 ,4 ,9 ,18,5,0
2433,5 ,4 ,7 ,16,3,0
2434,2 ,0 ,9 ,11,9,0
2435,7 ,9 ,4 ,20,5,0
2436,8 ,3 ,6 ,17,5,0
2437,0 ,4 ,5 ,9,5,0
2438,1 ,4 ,4 ,9,3,1
2439,9 ,9 ,7 ,25,2,1
2440,8 ,1 ,9 ,18,8,0
2441,9 ,0 ,5 ,14,9,0
2442,8 ,3 ,5 ,16,5,0
2443,8 ,0 ,8 ,16,8,1
2444,3 ,2 ,0 ,5,3,0
2445,7 ,4 ,9 ,20,5,0
2446,1 ,0 ,7 ,8,7,0
2447,1 ,0 ,4 ,5,4,0
2448,7 ,9 ,4 ,20,5,0
2449,2 ,9 ,4 ,15,7,0
2450,4 ,2 ,4 ,10,2,1
2451,9 ,7 ,1 ,17,8,0
2452,5 ,2 ,5 ,12,3,1
2453,6 ,7 ,9 ,22,3,0
2454,7 ,6 ,4 ,17,3,0
2455,8 ,4 ,3 ,15,5,0
2456,1 ,7 ,2 ,10,6,0
2457,8 ,6 ,7 ,21,2,0
2458,9 ,6 ,7 ,22,3,0
2459,5 ,1 ,8 ,14,7,0
2460,6 ,3 ,3 ,12,3,1
2461,1 ,7 ,8 ,16,7,0
2462,5 ,1 ,8 ,14,7,0
2463,5 ,4 ,8 ,17,4,0
2464,4 ,9 ,3 ,16,6,0
2465,0 ,0 ,0 ,0,0,1
2466,0 ,9 ,6 ,15,9,0
2467,0 ,0 ,3 ,3,3,1
2468,0 ,5 ,3 ,8,5,0
2469,5 ,3 ,5 ,13,2,1
2470,3 ,5 ,5 ,13,2,1
2471,1 ,0 ,6 ,7,6,0
2472,9 ,9 ,1 ,19,8,1
2473,8 ,1 ,1 ,10,7,1
2474,5 ,0 ,2 ,7,5,0
2475,2 ,1 ,3 ,6,2,0
2476,4 ,4 ,0 ,8,4,1
2477,0 ,5 ,2 ,7,5,0
2478,0 ,0 ,7 ,7,7,1
2479,3 ,6 ,8 ,17,5,0
2480,4 ,3 ,3 ,10,1,1
2481,3 ,9 ,8 ,20,6,0
2482,7 ,3 ,6 ,16,4,0
2483,1 ,8 ,7 ,16,7,0
2484,6 ,8 ,7 ,21,2,0
2485,9 ,1 ,5 ,15,8,0
2486,0 ,7 ,1 ,8,7,0
2487,4 ,5 ,2 ,11,3,0
2488,3 ,4 ,2 ,9,2,0
2489,6 ,9 ,9 ,24,3,1
2490,3 ,6 ,8 ,17,5,0
2491,5 ,4 ,1 ,10,4,0
2492,1 ,1 ,9 ,11,8,1
2493,3 ,9 ,3 ,15,6,1
2494,9 ,8 ,2 ,19,7,0
2495,8 ,0 ,7 ,15,8,0
2496,0 ,1 ,4 ,5,4,0
2497,4 ,0 ,0 ,4,4,1
2498,3 ,6 ,4 ,13,3,0
2499,0 ,5 ,5 ,10,5,1
2500,6 ,3 ,2 ,11,4,0
2501,8 ,1 ,3 ,12,7,0
2502,8 ,0 ,1 ,9,8,0
2503,8 ,2 ,0 ,10,8,0
2504,3 ,6 ,3 ,12,3,1
2505,4 ,7 ,5 ,16,3,0
2506,1 ,5 ,9 ,15,8,0
2507,9 ,2 ,7 ,18,7,0
2508,6 ,7 ,1 ,14,6,0
2509,7 ,5 ,4 ,16,3,0
2510,4 ,3 ,8 ,15,5,0
2511,9 ,5 ,1 ,15,8,0
2512,4 ,9 ,9 ,22,5,1
2513,0 ,3 ,7 ,10,7,0
2514,9 ,1 ,6 ,16,8,0
2515,1 ,9 ,6 ,16,8,0
2516,0 ,4 ,7 ,11,7,0
2517,3 ,9 ,7 ,19,6,0
2518,4 ,0 ,3 ,7,4,0
2519,1 ,5 ,7 ,13,6,0
2520,6 ,2 ,6 ,14,4,1
2521,4 ,3 ,4 ,11,1,1
2522,8 ,6 ,9 ,23,3,0
2523,3 ,0 ,4 ,7,4,0
2524,7 ,4 ,0 ,11,7,0
2525,3 ,3 ,4 ,10,1,1
2526,5 ,1 ,4 ,10,4,0
2527,3 ,2 ,8 ,13,6,0
2528,1 ,3 ,5 ,9,4,0
2529,3 ,5 ,8 ,16,5,0
2530,3 ,4 ,4 ,11,1,1
2531,4 ,2 ,9 ,15,7,0
2532,1 ,4 ,1 ,6,3,1
2533,3 ,8 ,4 ,15,5,0
2534,2 ,9 ,8 ,19,7,0
2535,5 ,0 ,6 ,11,6,0
2536,9 ,1 ,8 ,18,8,0
2537,7 ,8 ,5 ,20,3,0
2538,5 ,2 ,9 ,16,7,0
2539,1 ,9 ,4 ,14,8,0
2540,4 ,4 ,4 ,12,0,1
2541,7 ,6 ,7 ,20,1,1
2542,5 ,1 ,4 ,10,4,0
2543,2 ,3 ,6 ,11,4,0
2544,1 ,4 ,7 ,12,6,0
2545,5 ,4 ,0 ,9,5,0
2546,8 ,9 ,7 ,24,2,0
2547,4 ,4 ,0 ,8,4,1
2548,9 ,6 ,8 ,23,3,0
2549,1 ,4 ,0 ,5,4,0
2550,2 ,6 ,8 ,16,6,0
2551,7 ,3 ,7 ,17,4,1
2552,3 ,7 ,5 ,15,4,0
2553,9 ,8 ,9 ,26,1,1
2554,3 ,9 ,3 ,15,6,1
2555,9 ,3 ,9 ,21,6,1
2556,8 ,3 ,4 ,15,5,0
2557,5 ,0 ,8 ,13,8,0
2558,4 ,1 ,6 ,11,5,0
2559,3 ,8 ,9 ,20,6,0
2560,6 ,4 ,5 ,15,2,0
2561,6 ,9 ,8 ,23,3,0
2562,5 ,6 ,7 ,18,2,0
2563,6 ,5 ,2 ,13,4,0
2564,6 ,5 ,8 ,19,3,0
2565,2 ,0 ,8 ,10,8,0
2566,3 ,5 ,9 ,17,6,0
2567,7 ,7 ,4 ,18,3,1
2568,2 ,0 ,7 ,9,7,0
2569,4 ,4 ,3 ,11,1,1
2570,9 ,9 ,4 ,22,5,1
2571,6 ,6 ,1 ,13,5,1
2572,0 ,5 ,5 ,10,5,1
2573,6 ,6 ,5 ,17,1,1
2574,0 ,1 ,6 ,7,6,0
2575,7 ,1 ,8 ,16,7,0
2576,0 ,8 ,5 ,13,8,0
2577,3 ,5 ,1 ,9,4,0
2578,0 ,4 ,7 ,11,7,0
2579,8 ,2 ,1 ,11,7,0
2580,3 ,0 ,3 ,6,3,1
2581,3 ,2 ,8 ,13,6,0
2582,9 ,9 ,9 ,27,0,1
2583,9 ,8 ,8 ,25,1,1
2584,5 ,7 ,6 ,18,2,0
2585,5 ,5 ,8 ,18,3,1
2586,8 ,9 ,2 ,19,7,0
2587,5 ,3 ,0 ,8,5,0
2588,4 ,5 ,6 ,15,2,0
2589,3 ,7 ,6 ,16,4,0
2590,8 ,7 ,7 ,22,1,1
2591,0 ,7 ,6 ,13,7,0
2592,8 ,5 ,2 ,15,6,0
2593,1 ,6 ,1 ,8,5,1
2594,8 ,2 ,1 ,11,7,0
2595,8 ,0 ,9 ,17,9,0
2596,0 ,4 ,6 ,10,6,0
2597,0 ,0 ,3 ,3,3,1
2598,8 ,5 ,1 ,14,7,0
2599,0 ,8 ,5 ,13,8,0
2600,0 ,6 ,9 ,15,9,0
2601,2 ,9 ,0 ,11,9,0
2602,7 ,9 ,2 ,18,7,0
2603,4 ,0 ,2 ,6,4,0
2604,4 ,7 ,4 ,15,3,1
2605,9 ,3 ,7 ,19,6,0
2606,4 ,3 ,6 ,13,3,0
2607,5 ,8 ,5 ,18,3,1
2608,4 ,8 ,5 ,17,4,0
2609,1 ,9 ,7 ,17,8,0
2610,7 ,3 ,0 ,10,7,0
2611,5 ,1 ,5 ,11,4,1
2612,6 ,9 ,1 ,16,8,0
2613,5 ,8 ,0 ,13,8,0
2614,9 ,8 ,5 ,22,4,0
2615,2 ,0 ,7 ,9,7,0
2616,8 ,3 ,2 ,13,6,0
2617,6 ,0 ,3 ,9,6,0
2618,6 ,4 ,5 ,15,2,0
2619,4 ,7 ,7 ,18,3,1
2620,7 ,0 ,5 ,12,7,0
2621,3 ,5 ,9 ,17,6,0
2622,0 ,4 ,8 ,12,8,0
2623,1 ,9 ,2 ,12,8,0
2624,5 ,0 ,5 ,10,5,1
2625,6 ,6 ,3 ,15,3,1
2626,1 ,4 ,6 ,11,5,0
2627,3 ,0 ,1 ,4,3,0
2628,1 ,8 ,1 ,10,7,1
2629,4 ,3 ,1 ,8,3,0
2630,9 ,9 ,2 ,20,7,1
2631,2 ,2 ,3 ,7,1,1
2632,6 ,4 ,4 ,14,2,1
2633,7 ,3 ,6 ,16,4,0
2634,5 ,3 ,9 ,17,6,0
2635,9 ,7 ,4 ,20,5,0
2636,0 ,5 ,6 ,11,6,0
2637,2 ,6 ,9 ,17,7,0
2638,3 ,7 ,3 ,13,4,1
2639,8 ,3 ,2 ,13,6,0
2640,4 ,1 ,9 ,14,8,0
2641,9 ,8 ,6 ,23,3,0
2642,7 ,2 ,2 ,11,5,1
2643,5 ,7 ,0 ,12,7,0
2644,3 ,0 ,2 ,5,3,0
2645,8 ,9 ,0 ,17,9,0
2646,4 ,1 ,2 ,7,3,0
2647,7 ,3 ,1 ,11,6,0
2648,9 ,3 ,8 ,20,6,0
2649,2 ,1 ,8 ,11,7,0
2650,2 ,2 ,1 ,5,1,1
2651,0 ,9 ,7 ,16,9,0
2652,1 ,1 ,0 ,2,1,1
2653,7 ,1 ,4 ,12,6,0
2654,5 ,6 ,6 ,17,1,1
2655,8 ,3 ,1 ,12,7,0
2656,0 ,6 ,3 ,9,6,0
2657,7 ,1 ,9 ,17,8,0
2658,4 ,5 ,3 ,12,2,0
2659,5 ,7 ,2 ,14,5,0
2660,3 ,8 ,9 ,20,6,0
2661,3 ,5 ,1 ,9,4,0
2662,1 ,8 ,8 ,17,7,1
2663,8 ,4 ,1 ,13,7,0
2664,5 ,0 ,8 ,13,8,0
2665,1 ,3 ,9 ,13,8,0
2666,0 ,3 ,7 ,10,7,0
2667,6 ,2 ,7 ,15,5,0
2668,0 ,4 ,8 ,12,8,0
2669,9 ,9 ,5 ,23,4,1
2670,8 ,3 ,8 ,19,5,1
2671,1 ,4 ,7 ,12,6,0
2672,3 ,5 ,4 ,12,2,0
2673,2 ,0 ,9 ,11,9,0
2674,8 ,1 ,7 ,16,7,0
2675,5 ,6 ,5 ,16,1,1
2676,4 ,7 ,5 ,16,3,0
2677,4 ,4 ,6 ,14,2,1
2678,2 ,0 ,0 ,2,2,1
2679,9 ,1 ,9 ,19,8,1
2680,7 ,1 ,3 ,11,6,0
2681,9 ,6 ,5 ,20,4,0
2682,5 ,8 ,6 ,19,3,0
2683,5 ,5 ,1 ,11,4,1
2684,0 ,5 ,9 ,14,9,0
2685,2 ,4 ,7 ,13,5,0
2686,3 ,6 ,2 ,11,4,0
2687,0 ,3 ,5 ,8,5,0
2688,5 ,0 ,0 ,5,5,1
2689,2 ,8 ,8 ,18,6,1
2690,6 ,9 ,6 ,21,3,1
2691,6 ,2 ,3 ,11,4,0
2692,8 ,4 ,5 ,17,4,0
2693,0 ,1 ,7 ,8,7,0
2694,5 ,1 ,0 ,6,5,0
2695,9 ,1 ,1 ,11,8,1
2696,2 ,8 ,1 ,11,7,0
2697,5 ,3 ,4 ,12,2,0
2698,6 ,4 ,0 ,10,6,0
2699,6 ,6 ,9 ,21,3,1
2700,3 ,4 ,8 ,15,5,0
2701,2 ,1 ,4 ,7,3,0
2702,2 ,7 ,9 ,18,7,0
2703,4 ,6 ,8 ,18,4,0
2704,8 ,8 ,9 ,25,1,1
2705,2 ,9 ,8 ,19,7,0
2706,6 ,1 ,2 ,9,5,0
2707,8 ,2 ,3 ,13,6,0
2708,1 ,8 ,8 ,17,7,1
2709,2 ,3 ,0 ,5,3,0
2710,8 ,3 ,0 ,11,8,0
2711,0 ,6 ,2 ,8,6,0
2712,0 ,8 ,3 ,11,8,0
2713,2 ,8 ,4 ,14,6,0
2714,3 ,6 ,7 ,16,4,0
2715,0 ,1 ,3 ,4,3,0
2716,1 ,5 ,4 ,10,4,0
2717,3 ,0 ,4 ,7,4,0
2718,6 ,8 ,1 ,15,7,0
2719,6 ,4 ,2 ,12,4,0
2720,5 ,6 ,7 ,18,2,0
2721,2 ,3 ,9 ,14,7,0
2722,3 ,1 ,8 ,12,7,0
2723,6 ,4 ,8 ,18,4,0
2724,6 ,8 ,5 ,19,3,0
2725,0 ,6 ,1 ,7,6,0
2726,8 ,2 ,2 ,12,6,1
2727,3 ,1 ,7 ,11,6,0
2728,8 ,5 ,6 ,19,3,0
2729,7 ,6 ,1 ,14,6,0
2730,7 ,4 ,0 ,11,7,0
2731,1 ,7 ,6 ,14,6,0
2732,4 ,3 ,8 ,15,5,0
2733,4 ,5 ,7 ,16,3,0
2734,2 ,4 ,4 ,10,2,1
2735,7 ,3 ,8 ,18,5,0
2736,5 ,9 ,7 ,21,4,0
2737,7 ,7 ,2 ,16,5,1
2738,1 ,2 ,7 ,10,6,0
2739,4 ,3 ,8 ,15,5,0
2740,8 ,0 ,7 ,15,8,0
2741,0 ,7 ,3 ,10,7,0
2742,0 ,6 ,3 ,9,6,0
2743,3 ,2 ,3 ,8,1,1
2744,8 ,4 ,4 ,16,4,1
2745,9 ,6 ,3 ,18,6,0
2746,1 ,7 ,3 ,11,6,0
2747,2 ,9 ,9 ,20,7,1
2748,7 ,7 ,3 ,17,4,1
2749,1 ,5 ,6 ,12,5,0
2750,6 ,9 ,5 ,20,4,0
2751,4 ,2 ,3 ,9,2,0
2752,4 ,5 ,4 ,13,1,1
2753,7 ,5 ,1 ,13,6,0
2754,8 ,0 ,4 ,12,8,0
2755,4 ,1 ,2 ,7,3,0
2756,5 ,5 ,0 ,10,5,1
2757,3 ,1 ,9 ,13,8,0
2758,5 ,8 ,7 ,20,3,0
2759,3 ,9 ,9 ,21,6,1
2760,7 ,0 ,7 ,14,7,1
2761,0 ,0 ,8 ,8,8,1
2762,9 ,0 ,6 ,15,9,0
2763,8 ,6 ,0 ,14,8,0
2764,8 ,3 ,9 ,20,6,0
2765,5 ,4 ,9 ,18,5,0
2766,6 ,6 ,6 ,18,0,1
2767,4 ,2 ,3 ,9,2,0
2768,3 ,9 ,8 ,20,6,0
2769,7 ,9 ,0 ,16,9,0
2770,2 ,9 ,2 ,13,7,1
2771,3 ,4 ,5 ,12,2,0
2772,8 ,6 ,9 ,23,3,0
2773,8 ,9 ,4 ,21,5,0
2774,9 ,3 ,7 ,19,6,0
2775,4 ,8 ,0 ,12,8,0
2776,4 ,3 ,0 ,7,4,0
2777,7 ,5 ,9 ,21,4,0
2778,3 ,3 ,5 ,11,2,1
2779,5 ,6 ,6 ,17,1,1
2780,0 ,9 ,5 ,14,9,0
2781,5 ,9 ,3 ,17,6,0
2782,6 ,1 ,5 ,12,5,0
2783,6 ,0 ,8 ,14,8,0
2784,9 ,4 ,0 ,13,9,0
2785,3 ,6 ,7 ,16,4,0
2786,6 ,8 ,4 ,18,4,0
2787,9 ,5 ,6 ,20,4,0
2788,4 ,5 ,9 ,18,5,0
2789,8 ,5 ,0 ,13,8,0
2790,1 ,6 ,1 ,8,5,1
2791,6 ,5 ,4 ,15,2,0
2792,9 ,1 ,1 ,11,8,1
2793,3 ,4 ,9 ,16,6,0
2794,0 ,5 ,6 ,11,6,0
2795,4 ,9 ,0 ,13,9,0
2796,3 ,4 ,4 ,11,1,1
2797,0 ,0 ,4 ,4,4,1
2798,8 ,7 ,9 ,24,2,0
2799,3 ,7 ,4 ,14,4,0
2800,7 ,7 ,9 ,23,2,1
2801,9 ,6 ,0 ,15,9,0
2802,6 ,7 ,2 ,15,5,0
